Remote raw integrity: repo=Kidrage/AgentLab branch=main
Path | Status | Lines | Max Line | Bytes | Issue
--- | --- | ---: | ---: | ---: | ---
.github/workflows/ci.yml | OK | 64 | 102 | 2169 |
agent_runtime/skill_distiller.py | OK | 436 | 164 | 17768 |
agent_runtime/skill_vault.py | OK | 367 | 130 | 14231 |
agent_runtime/skill_backup.py | OK | 150 | 120 | 5475 |
agent_runtime/post_task_learning.py | OK | 211 | 136 | 9078 |
agent_runtime/external_skill_importer.py | OK | 482 | 135 | 16341 |
agent_runtime/pipeline_runner.py | OK | 1471 | 167 | 57416 |
agent_runtime/search_cli.py | OK | 86 | 106 | 3794 |
agent_runtime/search/provider.py | OK | 114 | 90 | 2927 |
agent_runtime/search/policy.py | OK | 63 | 86 | 1839 |
agent_runtime/skill_evolution.py | OK | 788 | 114 | 28706 |
config/skill_distillation.yml | OK | 40 | 78 | 980 |
config/skill_vault.yml | OK | 39 | 78 | 807 |
config/backup_policy.yml | OK | 514 | 135 | 23572 |
config/search_providers.yml | OK | 33 | 41 | 762 |
config/external_skill_import_policy.yml | OK | 16 | 106 | 618 |
docs/SKILL_DISTILLATION.md | OK | 32 | 302 | 1262 |
docs/SKILL_DISCOVERY_ROADMAP.md | OK | 23 | 266 | 931 |
docs/SKILL_VAULT.md | OK | 116 | 290 | 4011 |
scripts/audit_text_integrity.py | OK | 710 | 161 | 26810 |
scripts/check_remote_raw_integrity.py | OK | 275 | 109 | 11349 |
tests/test_repository_text_integrity.py | OK | 531 | 96 | 20521 |
tests/test_text_integrity_audit.py | OK | 147 | 119 | 4854 |
README.md | OK | 700 | 781 | 37132 |
agentlab.sh | OK | 56 | 99 | 1511 |
agent_runtime/recovery/closure_feedback.py | OK | 699 | 103 | 27706 |
tests/test_p2_l_closure_feedback.py | OK | 618 | 96 | 24519 |
agent_runtime/recovery/failure_taxonomy.py | OK | 107 | 89 | 3845 |
agent_runtime/recovery/strategy_search.py | OK | 153 | 113 | 4981 |
agent_runtime/recovery/alternative_route_planner.py | OK | 161 | 94 | 6282 |
agent_runtime/recovery/capability_gap_resolver.py | OK | 103 | 90 | 3587 |
agent_runtime/recovery/escalation_policy.py | OK | 120 | 100 | 4776 |
agent_runtime/recovery/fake_evidence_detector.py | OK | 94 | 90 | 3124 |
config/recovery_strategy_policy.yml | OK | 40 | 35 | 783 |
config/failure_taxonomy.yml | OK | 30 | 52 | 805 |
config/evidence_integrity_policy.yml | OK | 20 | 46 | 416 |
docs/S6_RECOVERY_BRAIN.md | OK | 67 | 91 | 1866 |
tests/test_s6_recovery_brain.py | OK | 126 | 112 | 4704 |
acceptance_runs/s6_recovery_brain/S6_RECOVERY_BRAIN_REPORT.md | OK | 77 | 150 | 2785 |
acceptance_runs/s6_recovery_brain/recovery_strategy_plan.yml | OK | 24 | 88 | 716 |
acceptance_runs/s6_recovery_brain/alternative_route_plan.yml | OK | 13 | 38 | 286 |
acceptance_runs/s6_recovery_brain/capability_gap_decision_card.yml | OK | 19 | 46 | 430 |
acceptance_runs/s6_recovery_brain/fake_evidence_report.yml | OK | 10 | 36 | 196 |
acceptance_runs/s6_recovery_brain/phase_acceptance_evidence.yml | OK | 11 | 46 | 298 |
acceptance_runs/s6_recovery_brain/recovery_strategy_ledger.yml | OK | 7 | 32 | 165 |
agent_runtime/brain/mission_contract.py | OK | 224 | 96 | 8281 |
agent_runtime/brain/renderer.py | OK | 119 | 96 | 3961 |
agent_runtime/brain/project_type_classifier.py | OK | 89 | 89 | 3021 |
agent_runtime/brain/decision_card_builder.py | OK | 90 | 103 | 3934 |
agent_runtime/brain/risk_classifier.py | OK | 58 | 93 | 2056 |
agent_runtime/brain/acceptance_gate_builder.py | OK | 58 | 90 | 2020 |
agent_runtime/brain/artifact_contract_builder.py | OK | 59 | 92 | 2169 |
agent_runtime/brain/domain_classifier.py | OK | 55 | 85 | 1820 |
agent_runtime/brain/capability_requirement_builder.py | OK | 45 | 87 | 1654 |
agent_runtime/program_manager/project_brain.py | OK | 142 | 116 | 6402 |
agent_runtime/program_manager/context_compressor.py | OK | 107 | 119 | 4026 |
agent_runtime/program_manager/phase_acceptance.py | OK | 100 | 131 | 4298 |
agent_runtime/program_manager/acceptance_renderer.py | OK | 98 | 123 | 3606 |
agent_runtime/program_manager/next_action_decider.py | OK | 62 | 105 | 2281 |
agent_runtime/program_manager/phase_planner.py | OK | 48 | 144 | 2581 |
agent_runtime/project_workflows/planner.py | OK | 108 | 113 | 4525 |
agent_runtime/project_workflows/renderer.py | OK | 57 | 98 | 2267 |
agent_runtime/external_projects/models.py | OK | 93 | 89 | 3053 |
agent_runtime/external_projects/registry.py | OK | 83 | 105 | 3384 |
AGENTS.md | OK | 103 | 366 | 7433 |
OPERATING_MODEL.md | OK | 216 | 289 | 7824 |
config/agent_model_profiles.yml | OK | 258 | 86 | 8513 |
agent_templates/coder.md | OK | 129 | 174 | 4805 |
agent_templates/supervisor.md | OK | 181 | 314 | 10421 |
agent_runtime/cli_executor.py | OK | 282 | 94 | 10524 |
agent_runtime/agent_runner.py | OK | 367 | 128 | 15193 |
tests/test_cli_executor.py | OK | 370 | 116 | 14683 |
Checked 72 files; suspicious=0
