## remote raw validation started
Tue Jun 16 10:26:55 CST 2026
$ python scripts/check_remote_raw_integrity.py --repo Kidrage/AgentLab --branch fix/s0-remote-raw-integrity
Remote raw integrity: repo=Kidrage/AgentLab branch=fix/s0-remote-raw-integrity
Path | Status | Lines | Max Line | Bytes | Issue
--- | --- | ---: | ---: | ---: | ---
agent_runtime/skill_distiller.py | OK | 436 | 164 | 17768 | 
agent_runtime/skill_vault.py | OK | 367 | 130 | 14231 | 
agent_runtime/skill_backup.py | OK | 150 | 120 | 5475 | 
agent_runtime/post_task_learning.py | OK | 211 | 136 | 9078 | 
agent_runtime/external_skill_importer.py | OK | 482 | 135 | 16341 | 
agent_runtime/pipeline_runner.py | OK | 1418 | 167 | 55213 | 
agent_runtime/search_cli.py | OK | 86 | 106 | 3794 | 
agent_runtime/search/provider.py | OK | 114 | 90 | 2927 | 
agent_runtime/search/policy.py | OK | 63 | 86 | 1839 | 
agent_runtime/skill_evolution.py | OK | 788 | 114 | 28706 | 
config/skill_distillation.yml | OK | 40 | 78 | 980 | 
config/skill_vault.yml | OK | 39 | 78 | 807 | 
config/backup_policy.yml | OK | 514 | 135 | 23572 | 
config/search_providers.yml | OK | 33 | 41 | 762 | 
config/external_skill_import_policy.yml | OK | 16 | 106 | 618 | 
docs/SKILL_DISTILLATION.md | OK | 32 | 302 | 1262 | 
docs/SKILL_DISCOVERY_ROADMAP.md | OK | 23 | 266 | 931 | 
docs/SKILL_VAULT.md | OK | 116 | 290 | 4011 | 
scripts/audit_text_integrity.py | OK | 528 | 161 | 18838 | 
scripts/check_remote_raw_integrity.py | OK | 125 | 109 | 4513 | 
tests/test_repository_text_integrity.py | OK | 314 | 96 | 11298 | 
tests/test_text_integrity_audit.py | OK | 68 | 119 | 2430 | 
README.md | OK | 693 | 781 | 36665 | 
agentlab.sh | OK | 20 | 67 | 525 | 
Checked 24 files; suspicious=0
