mode,tier,profile_key,role,executor_type,cli_agent,invocation_contract,model_key,model_id,catalog_provider,runtime_provider,model_binding,capacity_route,fallback_routes,fallback_cli_agent,fallback_model_key,artifact_types,artifact_dispatch,artifact_backend,role_binding_status,generated_non_authoritative,authority_paths
full_cli,full,supervisor,Supervisor,cli_agent,hermes,hermes_supervisor,codex_gpt_5_6_sol_xhigh_hermes_oauth,gpt-5.6-sol,hermes_codex_oauth,openai-codex,command_template,AlterSupervisor,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,observer,Observer,cli_agent,agy,agy_observer,gemini_3_6_flash_high_agy_oauth,gemini-3.6-flash-high,agy_gemini_oauth,agy-gemini-oauth,shell_configuration,Observer,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,reposcout,RepoScout,cli_agent,codex,codex,codex_gpt_5_6_sol_high_cli_oauth,gpt-5.6-sol,codex_cli_oauth,codex-cli,command_template,AlterRepoScout,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,interface_mapper,InterfaceMapper,cli_agent,codex,codex,codex_gpt_5_6_sol_xhigh_cli_oauth,gpt-5.6-sol,codex_cli_oauth,codex-cli,command_template,AlterInterfaceMapper,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,researcher,Researcher,cli_agent,agy,agy_research,gemini_3_6_flash_high_agy_oauth,gemini-3.6-flash-high,agy_gemini_oauth,agy-gemini-oauth,shell_configuration,Researcher,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,prompt_engineer,PromptEngineer,cli_agent,hermes,hermes_deepseek,deepseek_v4_flash_hermes_private,deepseek-v4-flash,hermes_deepseek_private,deepseek,command_template,AlterPromptEngineer,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,coder,Coder,cli_agent,codex,codex,codex_gpt_5_6_sol_xhigh_cli_oauth,gpt-5.6-sol,codex_cli_oauth,codex-cli,command_template,AlterCoder,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,artifact_producer,ArtifactProducer,cli_agent,codex,codex,codex_gpt_5_6_sol_medium_cli_oauth,gpt-5.6-sol,codex_cli_oauth,codex-cli,command_template,,,,,text | image | video | audio | spreadsheet | presentation | mixed,text=>codex_cli/codex/codex/ArtifactProducerCodex; image|video=>local_media_pending/local_media//; audio|mixed=>unsupported; spreadsheet|presentation=>qwen_cli/qwen/qwen_artifact/ArtifactProducerQwenMax,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,narrative_planner,NarrativePlanner,cli_agent,agy,agy_narrative_planner,gemini_3_6_flash_high_agy_oauth,gemini-3.6-flash-high,agy_gemini_oauth,agy-gemini-oauth,shell_configuration,NarrativePlannerAgy,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
full_cli,full,tester_auditor,TesterAuditor,cli_agent,hermes,hermes_deepseek,deepseek_v4_flash_hermes_private,deepseek-v4-flash,hermes_deepseek_private,deepseek,command_template,AlterTesterAuditor,,,,,,,ok,true,config/agent_model_profiles.yml|config/model_catalog.yml|config/model_capacity.yml|config/worker_invocation_contracts.yml|config/agent_role_bindings.yml|config/runtime_cli_requirements.yml|config/artifact_task_policy.yml
